name,product_title,product_url,current_price,original_price,currency,rating,is_sponsored
B08CZT64VP,"Late 2019 Apple MacBook Pro with 2.6GHz Intel Core i7 (16-Inch, 16GB RAM, 512GB Storage) - Silver (Renewed)",no product url,439.0,439.0,$,4.1,False
B0F6TQRX32,"2023 Apple MacBook Pro with Apple M2 Pro Chip (14.2-inch, 16GB RAM, 8TB SSD Storage) (QWERTY English) Space Gray (Renewed)",no product url,2094.95,2094.95,$,4.2,False
B09NX8546X,"Physicians Formula Butter Believe It Blush Makeup Powder, Pink Sands | Murumuru Butter | For Sensitive Skin | Dermatologist Tested, Clinicially Tested",no product url,11.48,11.48,$,4.3,False
B0B99HTPH1,"2021 Apple iMac with Apple M1 Chip with 8-core CPU (24-inch, 8GB RAM, 512GB SSD Storage) (QWERTY English) Purple (Renewed)",no product url,694.9,694.9,$,4.2,False
B09BK21GFW,"2020 Apple MacBook Air with 1.1GHz Intel Core i3 (13-inch, 8GB RAM, 128GB SSD Storage) (QWERTY English) Space Gray (Renewed)",no product url,339.99,339.99,$,3.8,False
B09SQG23YN,"2020 Apple Mac Mini with Apple M1 Chip (16GB RAM, 256GB SSD Storage) Silver (Renewed)",no product url,299.95,299.95,$,4.7,False
B09T2RJJQK,MAC,no product url,18.24,18.24,$,4.6,False
B01M362DU7,"Organic Maca Root Black, Red, Yellow 1900 MG per Serving - 150 Vegan Capsules Peruvian Maca Root Gelatinized 100% Pure Non-GMO Supports Reproductive Health Natural Energizer",no product url,17.88,0.12,$,4.4,False
B00YAZWHJ8,MAC,no product url,24.41,244.1,$,4.4,False
B000PXZZQG,"Kraft Original Mac & Cheese Macaroni and Cheese Dinner, 7.25 oz Box",no product url,1.0,0.14,$,4.7,False
B07SSVB3JX,Horbäach,no product url,8.99,0.07,$,4.5,False
B0CWHGBWL6,"Alienware M18 R2 Gaming Laptop - 18 QHD+ 165Hz 3ms Display, Intel Core i9-14900HX, 32GB DDR5 RAM, 1TB SSD, NVIDIA GeForce RTX 4080 12 GB GDDR6, Windows 11 Home, Onsite Service - Dark Metallic Moon",no product url,2799.99,2799.99,$,4.0,False
B0F3XB5BSZ,"HP 17 inch Laptop, Office Pro Lifetime License, 17.3"" Full HD IPS Display, AMD Ryzen 5 7430U, AMD Radeon Graphics, 32 GB RAM, 1 TB SSD, Wi-Fi 6, Copilot AI, Webcam, Windows 11 Pro, w/Accessories",no product url,1799.99,1799.99,$,4.6,False
B09BK21GFW,"2020 Apple MacBook Air with 1.1GHz Intel Core i3 (13-inch, 8GB RAM, 128GB SSD Storage) (QWERTY English) Space Gray (Renewed)",no product url,343.4,343.4,$,3.8,False
B09T2RJJQK,MAC,no product url,18.11,18.11,$,4.6,False
B01M362DU7,"Organic Maca Root Black, Red, Yellow 1900 MG per Serving - 150 Vegan Capsules Peruvian Maca Root Gelatinized 100% Pure Non-GMO Supports Reproductive Health Natural Energizer",no product url,17.88,0.12,$,4.4,False
B00YAZWHJ8,MAC,no product url,24.38,243.8,$,4.4,False
B09SQG23YN,"2020 Apple Mac Mini with Apple M1 Chip (16GB RAM, 256GB SSD Storage) Silver (Renewed)",no product url,299.95,299.95,$,4.7,False
B00BXOXOSC,MAC,no product url,20.08,100.4,$,4.4,False
B07SSVB3JX,Horbäach,no product url,8.99,0.07,$,4.5,False
B0019CLBWY,MAC,no product url,19.92,19.92,$,4.7,False
