name,product_title,product_url,current_price,original_price,currency,rating,is_sponsored
B00Q7OB1TM,"Amazon Basics Lightweight Super Soft Easy Care Microfiber 4 Piece Bed Sheet Set with 14-Inch Deep Pockets, Full, Navy Blue, Solid",no product url,1243.54,1243.54,INR,4.5,False
B06XWGVZ5R,SONORO KATE Bed Sheet Set Super Soft Microfiber 1800 Thread Count Luxury Egyptian Sheets 16-Inch Deep Pocket Wrinkle and Hypoallergenic-4 Piece(Queen Dark Grey),no product url,2238.2,2238.2,INR,4.6,False
B0BX9F1VS5,"ILAVANDE Queen Sheets Set 6 Piece,Hotel Luxury Super Soft 1800 Series Microfiber Queen Bed Sheets Set-Wrinkle Free & Breathable-14 Deep Pocket Sheets for Queen Size Bed(Queen,Sage Green)",no product url,1727.48,287.77,INR,4.6,False
B0CSFTRP2X,"BEDELITE Satin Sheets Queen Size Bed Set, Luxury Soft Black Silky Sheets for Hair and Skin, Similar to Silk Bed Sheets Set 4 Pieces with 1 Deep Pocket Fitted Sheet, 1 Flat Sheet, and 2 Pillowcases",no product url,1727.48,432.08,INR,4.4,False
B0B8JLLT45,"DOZ Sheet Set, 100% Viscose derived from Bamboo, Organically Grown, Buttery Soft, Cooling Sheets, High GSM, Deep Pockets - 3 Piece - 2 Pillowcases 1 Fitted Sheet (Forest, Queen)",no product url,4752.94,4752.94,INR,4.4,False
B06XQPPVHZ,"Elegant Comfort Best, Softest, Coziest 6-Piece Sheet Sets! - 1500 Premier Hotel Quality Luxurious Wrinkle Resistant 6-Piece Damask Stripe Bed Sheet Set, King Camel/Gold",no product url,1642.79,273.94,INR,4.5,False
B06XS23RKY,"California Design Den Full Size Bed Sheets Set - Soft 400 Thread Count Sateen, Natural 100% Cotton Sheets Full Size Bed Set, Deep Pockets for a Snug Fit, Durable Bedding - White",no product url,0.0,0.0,,4.5,False
B01BTBS6LS,"Amazon Basics Cotton Jersey 4-Piece Soft, Breathable, Wrinkle-Free Bed Sheet Set, Queen, Oatmeal, Solid",no product url,3455.82,864.17,INR,4.5,False
B0874G5WZS,"Elegant Comfort Luxury Soft Bed Sheets Quatrefoil Pattern - 1500 Premium Hotel Quality Microfiber Softness Wrinkle and Fade Resistant (6-Piece) Bedding Set, Queen, Joyful Orange",no product url,1420.7,1420.7,INR,4.6,False
B09X1P1L9F,"Queen Sheet Set - Natural 100% Cotton Sheets Queen Size Bed Set with Deep Pockets, Soft Sateen Weave, Breathable, Cooling and Durable Bedding by California Design Den (White)",no product url,0.0,0.0,,4.3,False
B0DKTLX465,"Shilucheng 100% Egyptian Cotton Queen Size Sheets Set - 1000 Thread Count，Luxury Cotton Bed Sheets，Breathable & Cooling Bedding and Pillow Cases, 16 Inch Deep Pocket - 4 Piece (Dark Grey, Queen)",no product url,6472.63,1618.59,INR,4.4,False
B0BM3L7373,"HOMEIDEAS Queen Size Bed Sheets - 6 Piece Set (Pale Pink) - Extra Soft Brushed Microfiber 1800 Bedding Sheets, Deep Pocket, Wrinkle & Fade Free",no product url,2418.81,403.57,INR,4.5,False
