name,product_title,product_url,current_price,original_price,currency,rating,is_sponsored
B0DX26L4N1,"15.6"" Laptop Computer, Windows 11 Laptop, 16GB RAM, 512GB SSD(Expandable to 2TB), Intel Quad-Core N5095(Up to 2.9 GHz), 1080P FHD Display, Fingerprint, Backlit KB, Wi-Fi 5, BT5.0, Quad-Speaker",no product url,25060.07,25060.07,INR,4.2,False
B0DBZ5SL9T,"15.6-inch Windows 11 Laptop, 16GB RAM, 512GB SSD, FHD IPS Display Laptop Computer, Intel N5095 Quad Core, 2.4/5G WiFi, BT4.2 Backlit and Fingerprint, Lightweight and Portable",no product url,23246.17,23246.17,INR,4.2,False
B0DTPK67SC,"Gaming laptop,15.6 inch Laptop Computer, Laptops Celeron N5095 Processor, 16GB 512GB SSD FHD 1920 * 1080 Display 180 Angle Opening Fingerprint Unlock Backlit Keyboard Mini-HDMI Traditional Computers",no product url,22467.56,22467.56,INR,4.0,False
B0CTPCTW66,"Dell Inspiron Touchscreen Laptop, 15.6"" Business & Student Laptop Computer, Windows 11 Pro Laptop 32GB RAM 1TB SSD, Intel i5-1155G7 Processor, Full HD IPS Display, Numeric Keypad, HDMI, Carbon Black",no product url,45800.15,45800.15,INR,4.2,False
B0F4GD28JM,"HP Chromebook 14 inch Laptop, HD Display, Intel Processor N100, 8 GB RAM, 128 GB UFS, Intel UHD Graphics, Chrome OS, Chalkboard Gray, 14a-nf0099nr",no product url,24974.51,24974.51,INR,4.3,False
B0B2D77YB8,"HP 14"" Ultral Light Laptop for Students and Business, Intel Quad-Core, 8GB RAM, 192GB Storage(64GB eMMC+128GB Ghost Manta SD Card), 1 Year Office 365, USB C, Win 11 S",no product url,21603.39,21603.39,INR,4.0,False
B0F2KT481H,"Dell Inspiron 3520 Laptop - 15.6-inch FHD (1920 x 1080) 120Hz Display, Intel Core i5-1235U Processor, 8GB DDR4 RAM, 512GB SSD, WiFi 5, Windows 11 S Mode - Carbon Black",no product url,0.0,0.0,,4.4,False
B09SVSBVP1,"HP Chromebook 14 Laptop, Intel Celeron N4120, 4 GB RAM, 64 GB eMMC, 14"" HD Display, Chrome OS, Thin Design, 4K Graphics, Long Battery Life, Ash Gray Keyboard (14a-na0226nr, 2022, Mineral Silver)",no product url,15121.25,15121.25,INR,4.3,False
B0CF62H34N,"Lenovo IdeaPad 1 Student Laptop, 15.6"" FHD Display, Intel Dual Core Processor, 12GB RAM, 512GB SSD + 128GB eMMC, 1 Year Office 365, Wi-Fi 6, Webcam, Bluetooth, SD Card Reader, Windows 11 Home, Grey",no product url,30159.53,30159.53,INR,4.3,False
B0F12WMB5Z,"Lenovo IdeaPad (15.6"" FHD Anti-Glare, Intel Core i5-1235U (> i7-1165G7), 16GB RAM, 1TB SSD), Laptop for Home, Student, Business, Webcam w/ Shutter, 10-Hour Long Battery Life, Win 11 Home in S Mode",no product url,0.0,0.0,,4.2,False
B0FD6TRYD8,"HP 15.6"" FHD Laptop Computer Student and Business • The New Version for Everyday Use • AMD Dual-Core Silver CPU • 8GB RAM • 256GB PCIe • Type-C • RJ-45 • 1Yr Office 365 • Windows 11 Pro",no product url,0.0,0.0,,4.4,False
B0DZZWMB2L,"ASUS ROG Strix G16 (2025) Gaming Laptop, 16” FHD+ 16:10 165Hz/3ms Display, NVIDIA® GeForce RTX™ 5060 Laptop GPU, Intel® Core™ i7 Processor 14650HX, 16GB DDR5, 1TB Gen 4 SSD, Wi-Fi 7, Windows 11 Home",no product url,129624.64,129624.64,INR,4.7,False
B0C4G4L53W,"HP Pavilion 15.6"" HD Touchscreen Anti-Glare Laptop, 16GB RAM, 1TB SSD Storage, Intel Core Processor up to 4.1GHz, Up to 11 Hours Long Battery Life, Type-C, HDMI, Windows 11 Home, Silver",no product url,36294.28,36294.28,INR,4.2,False
B0CTPCTW66,"Dell Inspiron Touchscreen Laptop, 15.6"" Business & Student Laptop Computer, Windows 11 Pro Laptop 32GB RAM 1TB SSD, Intel i5-1155G7 Processor, Full HD IPS Display, Numeric Keypad, HDMI, Carbon Black",no product url,45800.15,45800.15,INR,4.2,False
B0DWMLHYJ5,"HP 15.6 inch Laptop, HD Touchscreen Display, AMD Ryzen 3 7320U, 8 GB RAM, 256 GB SSD, AMD Radeon Graphics, Windows 11 Home, Natural Silver, 15-fc0399nr",no product url,0.0,0.0,,4.4,False
B0F9P8WFFW,"2025 Latest 14'' Laptop Windows 11, 8GB RAM 256GB SSD, Intel Quad-Core Processor(Max 2.9GHz), 1080P FHD Display, TF Card Slot, USB-C, Mini-HDMI, WiFi5, Bluetooth5, Webcam, Lightweight(Silver)",no product url,0.0,0.0,,5.0,False
