name,product_title,product_url,current_price,original_price,currency,rating,is_sponsored
B0CTW8TXGH,Tracfone | Motorola Moto g Play 2024 | Locked | 64GB | 5000mAh Battery | 50MP Quad Pixel Camera | 6.5-in. HD+ 90Hz Display | Sapphire Blue,no product url,39.88,39.88,$,4.3,False
B0DF6Q5MPS,"I16 PROMAX Unlocked Phone, 6.99inch HD AMOLED Screen Smartphone, Battery 7000mAh Cell Phone, Android 13.0 8+256GB with 128GB Memory Card, Face ID/Fingerprint Lock/5G/Photos/GPS (White)",no product url,179.99,179.99,$,4.0,False
B0DP3DB4CW,"SAMSUNG Galaxy S25 Cell Phone, 128GB AI Smartphone, Unlocked Android, AI Camera, Fast Processor, ProScaler Display, Long Battery Life, 2025, US 1 Yr Manufacturer Warranty, Icyblue",no product url,799.99,799.99,$,4.4,False
B0DY22C823,"I16 ProMAX 12+512GB Smartphone Unlocked Cell Phone,6.99"" HD Screen Unlocked Phones,Battery 7000mAh Android 13,Face ID/Fingerprint Button unlock/Photos/5G/Dual SIM/GPS (Gold, 12+512)",no product url,199.99,199.99,$,4.4,False
B0DT7F8V9Y,"Huness I16 ProMAX Smartphone Unlocked Cell Phone,6.99"" HD Screen Unlocked Phone,8+256GB Android 13 with 128GB Memory Card,Face ID/Dual SIM/5G/Fingerprint Button Unlock/Photos/GPS (Purple, 8+256)",no product url,179.99,179.99,$,4.5,False
B0DNRK51QQ,Moto G - 2025 | Unlocked | Made for US 4/128GB | 50MP Camera | Forest Gray,no product url,199.99,199.99,$,4.3,False
B0DD8HL23R,BLU G44 | 2024 | All-Day Battery | Unlocked | 6.8” HD+ Infinity Display | 64GB | Triple 13MP Camera | US Warranty| Blue,no product url,69.99,69.99,$,3.7,False
B0BZG14KFJ,"Panasonic Cordless Phone with Answering Machine, Advanced Call Block, Bilingual Caller ID and Easy to Read High-Contrast Display, Expandable System with 2 Handsets - KX-TGD832M (Metallic Black)",no product url,49.99,25.0,$,4.3,False
B0DT4T8D65,"SAMSUNG Galaxy A16 4G LTE (128GB + 4GB) International Model SM-A165F/DS Factory Unlocked 6.7"" Dual Sim 50MP Dual Cam (Case Bundle) (Gray)",no product url,139.25,139.25,$,3.8,False
B084KS5WYC,Samsung Galaxy A10e 32GB A102U GSM Unlocked Phone - Black (Renewed),no product url,68.0,68.0,$,3.9,False
B09SM24S8C,"Samsung Galaxy A03s Cell Phone, AT&T GSM Unlocked Android Smartphone, 32GB, Long Lasting Battery, Expandable Storage, 3 Camera Lenses, Infinite Display - Black (Renewed)",no product url,73.45,73.45,$,3.9,False
B0CTW8TXGH,Tracfone | Motorola Moto g Play 2024 | Locked | 64GB | 5000mAh Battery | 50MP Quad Pixel Camera | 6.5-in. HD+ 90Hz Display | Sapphire Blue,no product url,39.88,39.88,$,4.3,False
B0DF6Q5MPS,"I16 PROMAX Unlocked Phone, 6.99inch HD AMOLED Screen Smartphone, Battery 7000mAh Cell Phone, Android 13.0 8+256GB with 128GB Memory Card, Face ID/Fingerprint Lock/5G/Photos/GPS (White)",no product url,179.99,179.99,$,4.0,False
B0DNLDW446,"I16 PROMAX Unlocked Phone,8+256GB Smartphone, Android 13.0, Long Battery Life 7000mAh,6.99"" Display 68+108MP Zoom Camera,with Dual SIM, Fingerprint Lock, Face ID (Pink)",no product url,179.99,2.5,$,4.3,False
B0DY22C823,"I16 ProMAX 12+512GB Smartphone Unlocked Cell Phone,6.99"" HD Screen Unlocked Phones,Battery 7000mAh Android 13,Face ID/Fingerprint Button unlock/Photos/5G/Dual SIM/GPS (Gold, 12+512)",no product url,199.99,199.99,$,4.4,False
B0DL3PX8Z6,"Huness I16 ProMAX Smartphone Unlocked Cell Phone,6.99"" HD Screen Unlocked Phone,8+256GB Android 13 with 128GB Memory Card,Face ID/Dual SIM/5G/Fingerprint Button Unlock/Photos/GPS (Grey, 8+256)",no product url,179.99,179.99,$,4.5,False
B0DNRK51QQ,Moto G - 2025 | Unlocked | Made for US 4/128GB | 50MP Camera | Forest Gray,no product url,199.99,199.99,$,4.3,False
B0DD8HL23R,BLU G44 | 2024 | All-Day Battery | Unlocked | 6.8” HD+ Infinity Display | 64GB | Triple 13MP Camera | US Warranty| Blue,no product url,69.99,69.99,$,3.7,False
B084KS5WYC,Samsung Galaxy A10e 32GB A102U GSM Unlocked Phone - Black (Renewed),no product url,68.0,68.0,$,3.9,False
B0BZG14KFJ,"Panasonic Cordless Phone with Answering Machine, Advanced Call Block, Bilingual Caller ID and Easy to Read High-Contrast Display, Expandable System with 2 Handsets - KX-TGD832M (Metallic Black)",no product url,49.99,25.0,$,4.3,False
B0DT4T8D65,"SAMSUNG Galaxy A16 4G LTE (128GB + 4GB) International Model SM-A165F/DS Factory Unlocked 6.7"" Dual Sim 50MP Dual Cam (Case Bundle) (Gray)",no product url,139.25,139.25,$,3.8,False
B09SM24S8C,"Samsung Galaxy A03s Cell Phone, AT&T GSM Unlocked Android Smartphone, 32GB, Long Lasting Battery, Expandable Storage, 3 Camera Lenses, Infinite Display - Black (Renewed)",no product url,73.45,73.45,$,3.9,False
B0DP3D88NF,"SAMSUNG Galaxy S25+ Cell Phone, 512GB AI Smartphone, Unlocked Android, AI Camera, Fast Processor, ProScaler Display, Long Battery Life, 2025, US 1 Yr Manufacturer Warranty, Mint",no product url,1119.99,1119.99,$,4.4,False
B0CTW8TXGH,Tracfone | Motorola Moto g Play 2024 | Locked | 64GB | 5000mAh Battery | 50MP Quad Pixel Camera | 6.5-in. HD+ 90Hz Display | Sapphire Blue,no product url,39.88,39.88,$,4.3,False
B0DF6Q5MPS,"I16 PROMAX Unlocked Phone, 6.99inch HD AMOLED Screen Smartphone, Battery 7000mAh Cell Phone, Android 13.0 8+256GB with 128GB Memory Card, Face ID/Fingerprint Lock/5G/Photos/GPS (White)",no product url,179.99,179.99,$,4.0,False
B0DT7F8V9Y,"Huness I16 ProMAX Smartphone Unlocked Cell Phone,6.99"" HD Screen Unlocked Phone,8+256GB Android 13 with 128GB Memory Card,Face ID/Dual SIM/5G/Fingerprint Button Unlock/Photos/GPS (Purple, 8+256)",no product url,179.99,179.99,$,4.5,False
B0DL3MYCZK,"I16 ProMAX 12+512GB Smartphone Unlocked Cell Phone,6.99"" HD Screen Unlocked Phones,Battery 7000mAh Android 13,Face ID/Fingerprint Button unlock/Photos/5G/Dual SIM/GPS (Purple, 12+512)",no product url,199.99,199.99,$,4.4,False
B0DP3D88NF,"SAMSUNG Galaxy S25+ Cell Phone, 512GB AI Smartphone, Unlocked Android, AI Camera, Fast Processor, ProScaler Display, Long Battery Life, 2025, US 1 Yr Manufacturer Warranty, Mint",no product url,1119.99,1119.99,$,4.4,False
B0DNLDW446,"I16 PROMAX Unlocked Phone,8+256GB Smartphone, Android 13.0, Long Battery Life 7000mAh,6.99"" Display 68+108MP Zoom Camera,with Dual SIM, Fingerprint Lock, Face ID (Pink)",no product url,179.99,2.5,$,4.3,False
B0DNRK51QQ,Moto G - 2025 | Unlocked | Made for US 4/128GB | 50MP Camera | Forest Gray,no product url,199.99,199.99,$,4.3,False
B0DD8HL23R,BLU G44 | 2024 | All-Day Battery | Unlocked | 6.8” HD+ Infinity Display | 64GB | Triple 13MP Camera | US Warranty| Blue,no product url,69.99,69.99,$,3.7,False
B084KS5WYC,Samsung Galaxy A10e 32GB A102U GSM Unlocked Phone - Black (Renewed),no product url,68.0,68.0,$,3.9,False
B0DT4T8D65,"SAMSUNG Galaxy A16 4G LTE (128GB + 4GB) International Model SM-A165F/DS Factory Unlocked 6.7"" Dual Sim 50MP Dual Cam (Case Bundle) (Gray)",no product url,139.25,139.25,$,3.8,False
B09SM24S8C,"Samsung Galaxy A03s Cell Phone, AT&T GSM Unlocked Android Smartphone, 32GB, Long Lasting Battery, Expandable Storage, 3 Camera Lenses, Infinite Display - Black (Renewed)",no product url,73.45,73.45,$,3.9,False
B0DLGHZ3YN,"NUU N20 Basic Cell Phone for T-Mobile, Mint, Metro, Qlink, Tello and More 6GB/128GB, Perfect for Teenagers, Dual SIM 4G, Octa-Core 6.6"" 90Hz HD+, Unlocked Phones Android Phone 14, US Warranty (Purple)",no product url,128.99,128.99,$,4.4,False
